 #x0  -21300
 #y0  16000
 #xsize  2000
 #ysize  2000
 #step  50
 #wait  300
-22300	15000	0.00046
-22250	15000	0.00061
-22200	15000	0.00031
-22150	15000	0.00061
-22100	15000	0.00046
-22050	15000	0.00061
-22000	15000	0.00076
-21950	15000	0.00092
-21900	15000	0.00061
-21850	15000	0.00061
-21800	15000	0.00046
-21750	15000	0.00031
-21700	15000	0.00031
-21650	15000	0.00031
-21600	15000	0.00031
-21550	15000	0.00031
-21500	15000	0.00031
-21450	15000	0.00076
-21400	15000	0.00092
-21350	15000	0.00122
-21300	15000	0.00153
-21250	15000	0.00107
-21200	15000	0.00076
-21150	15000	0.00076
-21100	15000	0.00061
-21050	15000	0.00076
-21000	15000	0.00076
-20950	15000	0.00061
-20900	15000	0.00061
-20850	15000	0.00031
-20800	15000	0.00046
-20750	15000	0.00031
-20700	15000	0.00031
-20650	15000	0.00031
-20600	15000	0.00031
-20550	15000	0.00061
-20500	15000	0.00076
-20450	15000	0.00076
-20400	15000	0.00061
-20350	15000	0.00061
-20300	15000	0.00046
-22300	15050	0.00046
-22250	15050	0.00076
-22200	15050	0.00061
-22150	15050	0.00076
-22100	15050	0.00076
-22050	15050	0.00107
-22000	15050	0.00214
-21950	15050	0.0032
-21900	15050	0.00534
-21850	15050	0.00687
-21800	15050	0.00854
-21750	15050	0.01022
-21700	15050	0.01068
-21650	15050	0.01083
-21600	15050	0.01053
-21550	15050	0.00885
-21500	15050	0.00702
-21450	15050	0.0061
-21400	15050	0.00458
-21350	15050	0.00427
-21300	15050	0.00351
-21250	15050	0.00259
-21200	15050	0.00183
-21150	15050	0.00092
-21100	15050	0.00076
-21050	15050	0.00061
-21000	15050	0.00061
-20950	15050	0.00046
-20900	15050	0.00031
-20850	15050	0.00076
-20800	15050	0.00076
-20750	15050	0.00076
-20700	15050	0.00061
-20650	15050	0.00076
-20600	15050	0.00061
-20550	15050	0.00046
-20500	15050	0.00031
-20450	15050	0.00046
-20400	15050	0.00046
-20350	15050	0.00046
-20300	15050	0.00046
-22300	15100	0.00031
-22250	15100	0.00275
-22200	15100	0.00458
-22150	15100	0.00595
-22100	15100	0.00809
